#{"t_start": 1751641417.0476642, "env_id": "None"}
r,l,t
55099554.671417,1979,12.377359
502854810.739266,1979,25.346015
974630738.45976,1979,37.782389
4364582.314142,1979,50.782379
7349695.647569,1979,63.206254
42782869.835582,1979,78.262914
23538130.22534,1979,91.387391
109144527.758583,1979,104.455988
180484227.866359,1979,117.976693
18213600.748907,1979,131.290442
178555684.60788,1979,145.020423
530880468.923903,1979,158.11641
413809502.847563,1979,171.944495
11224422.600715,1979,186.192389
17268518.135061,1979,200.453936
13743101.682039,1979,214.767637
249264153.126569,1979,226.357828
68813003.768688,1979,238.503533
65827259.962239,1979,252.224457
129520308.616274,1979,266.460392
16957298.200416,1979,281.268719
22698211.935231,1979,293.745193
25427861.260251,1979,306.556762
113849566.65467,1979,321.060607
230359682.350106,1979,332.625947
85215963.373789,1979,346.009355
12788097.820463,1979,357.942902
77385489.463687,1979,371.818151
146144135.451215,1979,385.289502
251620900.347778,1979,396.261409
10360621.372819,1979,411.974111
241572513.298295,1979,426.167011
41554049.930275,1979,439.54069
22932192.202796,1979,453.217625
18177500.521522,1979,467.833818
589104993.390201,1979,485.131868
1472303339.633455,1979,499.523669
45039315.959225,1979,514.464015
60281476.499824,1979,529.823384
3901300.699416,1979,544.659219
20205029.477844,1979,562.324374
645924903.085992,1979,580.579726
188470840.52887,1979,597.658237
278527809.163009,1979,612.544465
53489716.921787,1979,626.355283
566200403.019242,1979,643.60648
35876014.53937,1979,656.896798
236592498.505123,1979,670.063966
87884768.761731,1979,683.387517
2142230.684859,1979,698.502148
